event_type,sequence_number,venue_id,exchange_timestamp_ns,local_receipt_timestamp_ns,side,price_ticks,quantity
trade,200001,2,1248800000,1250000000,S,10001,5
trade,200002,2,1248800000,1250000000,B,10003,7
trade,200003,2,1248800000,1250000000,S,10001,9
book,35,1,1299200000,1300000000,A,10002,22
book,35,2,1298800000,1300000000,B,10001,33
book,35,3,1298400000,1300000000,A,10001,44
book,36,1,1349200000,1350000000,B,10000,29
book,36,2,1348800000,1350000000,A,10003,40
book,36,3,1348400000,1350000000,B,9999,20
book,37,1,1399200000,1400000000,A,10002,36
book,37,2,1398800000,1400000000,B,10001,16
book,37,3,1398400000,1400000000,A,10001,27
book,38,1,1449200000,1450000000,B,10000,43
book,38,2,1448800000,1450000000,A,10003,23
book,38,3,1448400000,1450000000,B,9999,34
book,39,1,1499200000,1500000000,A,10002,19
book,39,2,1498800000,1500000000,B,10001,30
book,39,3,1498400000,1500000000,A,10001,41
book,40,1,1549200000,1550000000,B,10000,26
book,40,2,1548800000,1550000000,A,10003,37
book,40,3,1548400000,1550000000,B,9999,17
book,41,1,1599200000,1600000000,A,10002,33
book,41,2,1598800000,1600000000,B,10001,44
book,41,3,1598400000,1600000000,A,10001,24
book,42,1,1649200000,1650000000,B,10000,40
book,42,2,1648800000,1650000000,A,10003,20
book,42,3,1648400000,1650000000,B,9999,31
book,43,1,1699200000,1700000000,A,10002,16
book,43,2,1698800000,1700000000,B,10001,27
book,43,3,1698400000,1700000000,A,10001,38
book,44,1,1749200000,1750000000,B,10000,23
book,44,2,1748800000,1750000000,A,10003,34
book,44,3,1748400000,1750000000,B,9999,45
book,45,1,1799200000,1800000000,A,10002,30
book,45,2,1798800000,1800000000,B,10001,41
book,45,3,1798400000,1800000000,A,10001,21
book,46,1,1849200000,1850000000,B,10000,37
book,46,2,1848800000,1850000000,A,10003,17
book,46,3,1848400000,1850000000,B,9999,28
book,47,1,1899200000,1900000000,A,10002,44
book,47,2,1898800000,1900000000,B,10001,24
book,47,3,1898400000,1900000000,A,10001,35
book,48,1,1949200000,1950000000,B,10000,20
book,48,2,1948800000,1950000000,A,10003,31
book,48,3,1948400000,1950000000,B,9999,42
book,49,1,1999200000,2000000000,B,10001,27
book,50,1,1999200000,2000000000,A,10003,24
book,51,1,1999200000,2000000000,A,10002,0
book,52,1,1999200000,2000000000,A,10003,27
book,49,2,1998800000,2000000000,B,10001,38
book,49,3,1998400000,2000000000,A,10001,18
book,50,2,2048800000,2050000000,B,10002,30
book,51,2,2048800000,2050000000,A,10004,26
book,52,2,2048800000,2050000000,A,10003,0
book,53,1,2049200000,2050000000,B,10001,34
book,53,2,2048800000,2050000000,A,10004,45
book,50,3,2048400000,2050000000,B,9999,25
book,51,3,2098400000,2100000000,B,10000,33
book,52,3,2098400000,2100000000,A,10002,28
book,53,3,2098400000,2100000000,A,10001,0
book,54,1,2099200000,2100000000,A,10003,41
book,54,2,2098800000,2100000000,B,10002,21
book,54,3,2098400000,2100000000,A,10002,32
book,55,1,2149200000,2150000000,B,10001,17
book,55,2,2148800000,2150000000,A,10004,28
book,55,3,2148400000,2150000000,B,10000,39
book,56,1,2199200000,2200000000,A,10003,24
book,56,2,2198800000,2200000000,B,10002,35
book,56,3,2198400000,2200000000,A,10002,15
book,57,1,2249200000,2250000000,B,10001,31
book,57,2,2248800000,2250000000,A,10004,42
book,57,3,2248400000,2250000000,B,10000,22
book,58,1,2299200000,2300000000,A,10003,38
book,58,2,2298800000,2300000000,B,10002,18
book,58,3,2298400000,2300000000,A,10002,29
book,59,1,2349200000,2350000000,B,10001,45
book,59,2,2348800000,2350000000,A,10004,25
book,59,3,2348400000,2350000000,B,10000,36
book,60,1,2399200000,2400000000,A,10003,21
book,60,2,2398800000,2400000000,B,10002,32
book,60,3,2398400000,2400000000,A,10002,43
book,61,1,2449200000,2450000000,B,10001,28
book,61,2,2448800000,2450000000,A,10004,39
book,61,3,2448400000,2450000000,B,10000,19
book,62,1,2499200000,2500000000,A,10003,35
book,62,2,2498800000,2500000000,B,10002,15
book,62,3,2498400000,2500000000,A,10002,26
trade,100004,1,2499200000,2500000000,S,10001,4
trade,100005,1,2499200000,2500000000,B,10003,6
trade,100006,1,2499200000,2500000000,S,10001,8
trade,200004,2,2498800000,2500000000,B,10004,5
trade,200005,2,2498800000,2500000000,S,10002,7
trade,200006,2,2498800000,2500000000,B,10004,9
book,63,1,2549200000,2550000000,B,10001,42
book,63,2,2548800000,2550000000,A,10004,22
book,63,3,2548400000,2550000000,B,10000,33
book,64,1,2599200000,2600000000,A,10003,18
book,64,2,2598800000,2600000000,B,10002,29
book,64,3,2598400000,2600000000,A,10002,40
book,65,1,2649200000,2650000000,B,10001,25
book,65,2,2648800000,2650000000,A,10004,36
book,65,3,2648400000,2650000000,B,10000,16
book,66,1,2699200000,2700000000,A,10003,32
book,66,2,2698800000,2700000000,B,10002,43
book,66,3,2698400000,2700000000,A,10002,23
book,67,1,2749200000,2750000000,B,10001,39
book,67,2,2748800000,2750000000,A,10004,19
book,67,3,2748400000,2750000000,B,10000,30
book,68,1,2799200000,2800000000,A,10003,15
book,68,2,2798800000,2800000000,B,10002,26
book,68,3,2798400000,2800000000,A,10002,37
book,69,1,2849200000,2850000000,B,10001,22
book,69,2,2848800000,2850000000,A,10004,33
book,69,3,2848400000,2850000000,B,10000,44
book,70,1,2899200000,2900000000,A,10003,29
book,70,2,2898800000,2900000000,B,10002,40
book,70,3,2898400000,2900000000,A,10002,20
book,71,1,2949200000,2950000000,B,10001,36
book,71,2,2948800000,2950000000,A,10004,16
book,71,3,2948400000,2950000000,B,10000,27
book,72,1,2999200000,3000000000,A,10003,43
book,72,2,2998800000,3000000000,B,10002,23
book,72,3,2998400000,3000000000,A,10002,34
book,73,1,3049200000,3050000000,B,10001,19
book,73,2,3048800000,3050000000,A,10004,30
book,73,3,3048400000,3050000000,B,10000,41
book,74,1,3099200000,3100000000,A,10003,26
book,74,2,3098800000,3100000000,B,10002,37
book,74,3,3098400000,3100000000,A,10002,17
book,75,1,3149200000,3150000000,B,10001,33
book,75,2,3148800000,3150000000,A,10004,44
book,75,3,3148400000,3150000000,B,10000,24
book,76,1,3199200000,3200000000,A,10003,40
book,76,2,3198800000,3200000000,B,10002,20
book,76,3,3198400000,3200000000,A,10002,31
book,77,1,3249200000,3250000000,B,10001,16
book,77,2,3248800000,3250000000,A,10004,27
book,77,3,3248400000,3250000000,B,10000,38
book,78,1,3299200000,3300000000,A,10003,23
book,78,2,3298800000,3300000000,B,10002,34
book,78,3,3298400000,3300000000,A,10002,45
book,79,1,3349200000,3350000000,B,10001,30
book,79,2,3348800000,3350000000,A,10004,41
book,79,3,3348400000,3350000000,B,10000,21
book,80,1,3399200000,3400000000,A,10003,37
book,80,2,3398800000,3400000000,B,10002,17
book,80,3,3398400000,3400000000,A,10002,28
book,81,1,3449200000,3450000000,B,10001,44
book,81,2,3448800000,3450000000,A,10004,24
book,81,3,3448400000,3450000000,B,10000,35
book,82,1,3499200000,3500000000,A,10003,20
book,82,2,3498800000,3500000000,B,10002,31
book,82,3,3498400000,3500000000,A,10002,42
book,83,1,3549200000,3550000000,B,10001,27
book,83,2,3548800000,3550000000,A,10004,38
book,83,3,3548400000,3550000000,B,10000,18
book,84,1,3599200000,3600000000,A,10003,34
book,84,2,3598800000,3600000000,B,10002,45
book,84,3,3598400000,3600000000,A,10002,25
book,85,1,3649200000,3650000000,B,10001,41
book,85,2,3648800000,3650000000,A,10004,21
book,85,3,3648400000,3650000000,B,10000,32
book,86,1,3699200000,3700000000,A,10003,17
book,86,2,3698800000,3700000000,B,10002,28
book,86,3,3698400000,3700000000,A,10002,39
book,87,1,3749200000,3750000000,B,10001,24
book,87,2,3748800000,3750000000,A,10004,35
book,87,3,3748400000,3750000000,B,10000,15
trade,100007,1,3749200000,3750000000,B,10003,4
trade,100008,1,3749200000,3750000000,S,10001,6
trade,100009,1,3749200000,3750000000,B,10003,8
trade,200007,2,3748800000,3750000000,S,10002,5
trade,200008,2,3748800000,3750000000,B,10004,7
trade,200009,2,3748800000,3750000000,S,10002,9
book,88,1,3799200000,3800000000,A,10003,31
book,88,2,3798800000,3800000000,B,10002,42
book,88,3,3798400000,3800000000,A,10002,22
book,89,1,3849200000,3850000000,B,10001,38
book,89,2,3848800000,3850000000,A,10004,18
book,89,3,3848400000,3850000000,B,10000,29
book,90,1,3899200000,3900000000,A,10003,45
book,90,2,3898800000,3900000000,B,10002,25
book,90,3,3898400000,3900000000,A,10002,36
book,91,1,3949200000,3950000000,B,10001,21
book,91,2,3948800000,3950000000,A,10004,32
book,91,3,3948400000,3950000000,B,10000,43
book,92,2,3998800000,4000000000,A,10003,26
book,93,2,3998800000,4000000000,B,10001,30
book,94,2,3998800000,4000000000,B,10002,0
book,92,1,3999200000,4000000000,A,10003,28
book,95,2,3998800000,4000000000,B,10001,39
book,92,3,3998400000,4000000000,A,10002,19
book,93,1,4049200000,4050000000,A,10002,24
book,94,1,4049200000,4050000000,B,10000,27
book,95,1,4049200000,4050000000,B,10001,0
book,96,1,4049200000,4050000000,B,10000,35
book,96,2,4048800000,4050000000,A,10003,15
book,93,3,4048400000,4050000000,B,10000,26
book,94,3,4098400000,4100000000,A,10001,28
book,95,3,4098400000,4100000000,B,9999,33
book,96,3,4098400000,4100000000,B,10000,0
book,97,1,4099200000,4100000000,A,10002,42
book,97,2,4098800000,4100000000,B,10001,22
book,97,3,4098400000,4100000000,A,10001,33
book,98,1,4149200000,4150000000,B,10000,18
book,98,2,4148800000,4150000000,A,10003,29
book,98,3,4148400000,4150000000,B,9999,40
book,99,1,4199200000,4200000000,A,10002,25
book,99,2,4198800000,4200000000,B,10001,36
book,99,3,4198400000,4200000000,A,10001,16
book,100,1,4249200000,4250000000,B,10000,32
book,100,2,4248800000,4250000000,A,10003,43
book,100,3,4248400000,4250000000,B,9999,23
book,101,1,4299200000,4300000000,A,10002,39
book,101,2,4298800000,4300000000,B,10001,19
book,101,3,4298400000,4300000000,A,10001,30
book,102,1,4349200000,4350000000,B,10000,15
book,102,2,4348800000,4350000000,A,10003,26
book,102,3,4348400000,4350000000,B,9999,37
book,103,1,4399200000,4400000000,A,10002,22
book,103,2,4398800000,4400000000,B,10001,33
book,103,3,4398400000,4400000000,A,10001,44
book,104,1,4449200000,4450000000,B,10000,29
book,104,2,4448800000,4450000000,A,10003,40
book,104,3,4448400000,4450000000,B,9999,20
book,105,1,4499200000,4500000000,A,10002,36
book,105,2,4498800000,4500000000,B,10001,16
book,105,3,4498400000,4500000000,A,10001,27
book,106,1,4549200000,4550000000,B,10000,43
book,106,2,4548800000,4550000000,A,10003,23
book,106,3,4548400000,4550000000,B,9999,34
book,107,1,4599200000,4600000000,A,10002,19
book,107,2,4598800000,4600000000,B,10001,30
book,107,3,4598400000,4600000000,A,10001,41
book,108,1,4649200000,4650000000,B,10000,26
book,108,2,4648800000,4650000000,A,10003,37
book,108,3,4648400000,4650000000,B,9999,17
book,109,1,4699200000,4700000000,A,10002,33
book,109,2,4698800000,4700000000,B,10001,44
book,109,3,4698400000,4700000000,A,10001,24
book,110,1,4749200000,4750000000,B,10000,40
book,110,2,4748800000,4750000000,A,10003,20
book,110,3,4748400000,4750000000,B,9999,31
book,111,1,4799200000,4800000000,A,10002,16
book,111,2,4798800000,4800000000,B,10001,27
book,111,3,4798400000,4800000000,A,10001,38
book,112,1,4849200000,4850000000,B,10000,23
book,112,2,4848800000,4850000000,A,10003,34
book,112,3,4848400000,4850000000,B,9999,45
book,113,1,4899200000,4900000000,A,10002,30
book,113,2,4898800000,4900000000,B,10001,41
book,113,3,4898400000,4900000000,A,10001,21
book,114,1,4949200000,4950000000,B,10000,37
book,114,2,4948800000,4950000000,A,10003,17
book,114,3,4948400000,4950000000,B,9999,28
book,115,1,4999200000,5000000000,A,10003,26
book,116,1,4999200000,5000000000,A,10002,0
book,117,1,4999200000,5000000000,A,10003,44
book,115,2,4998800000,5000000000,B,10001,24
book,115,3,4998400000,5000000000,A,10001,35
trade,100010,1,4999200000,5000000000,S,10000,4
trade,100011,1,4999200000,5000000000,B,10003,6
trade,100012,1,4999200000,5000000000,S,10000,8
trade,200010,2,4998800000,5000000000,B,10003,5
trade,200011,2,4998800000,5000000000,S,10001,7
trade,200012,2,4998800000,5000000000,B,10003,9
book,118,1,5049200000,5050000000,B,10000,20
book,116,2,5048800000,5050000000,A,10003,31
book,116,3,5048400000,5050000000,B,9999,42
book,119,1,5099200000,5100000000,A,10003,27
book,117,2,5098800000,5100000000,B,10001,38
book,117,3,5098400000,5100000000,A,10001,18
book,120,1,5149200000,5150000000,B,10000,34
book,118,2,5148800000,5150000000,A,10003,45
book,118,3,5148400000,5150000000,B,9999,25
book,121,1,5199200000,5200000000,A,10002,23
book,122,1,5199200000,5200000000,A,10002,41
book,119,2,5198800000,5200000000,B,10001,21
book,119,3,5198400000,5200000000,A,10001,32
book,123,1,5249200000,5250000000,B,10000,17
book,120,2,5248800000,5250000000,A,10003,28
book,120,3,5248400000,5250000000,B,9999,39
book,124,1,5299200000,5300000000,A,10002,24
book,121,2,5298800000,5300000000,B,10001,35
book,121,3,5298400000,5300000000,A,10001,15
book,125,1,5349200000,5350000000,B,10000,31
book,122,2,5348800000,5350000000,A,10003,42
book,122,3,5348400000,5350000000,B,9999,22
book,126,1,5399200000,5400000000,A,10002,38
book,123,2,5398800000,5400000000,B,10001,18
book,123,3,5398400000,5400000000,A,10001,29
book,127,1,5449200000,5450000000,B,10000,45
book,124,2,5448800000,5450000000,A,10003,25
book,124,3,5448400000,5450000000,B,9999,36
book,128,1,5499200000,5500000000,A,10002,21
book,125,2,5498800000,5500000000,B,10001,32
book,125,3,5498400000,5500000000,A,10001,43
book,129,1,5549200000,5550000000,B,10000,28
book,126,2,5548800000,5550000000,A,10003,39
book,126,3,5548400000,5550000000,B,9999,19
book,130,1,5599200000,5600000000,A,10002,35
book,127,2,5598800000,5600000000,B,10001,15
book,127,3,5598400000,5600000000,A,10001,26
book,131,1,5649200000,5650000000,B,10000,42
book,128,2,5648800000,5650000000,A,10003,22
book,128,3,5648400000,5650000000,B,9999,33
book,132,1,5699200000,5700000000,A,10002,18
book,129,2,5698800000,5700000000,B,10001,29
book,129,3,5698400000,5700000000,A,10001,40
book,133,1,5749200000,5750000000,B,10000,25
book,130,2,5748800000,5750000000,A,10003,36
book,130,3,5748400000,5750000000,B,9999,16
book,134,1,5799200000,5800000000,A,10002,32
book,131,2,5798800000,5800000000,B,10001,43
book,131,3,5798400000,5800000000,A,10001,23
book,135,1,5849200000,5850000000,B,10000,39
book,132,2,5848800000,5850000000,A,10003,19
book,132,3,5848400000,5850000000,B,9999,30
book,136,1,5899200000,5900000000,A,10002,15
book,133,2,5898800000,5900000000,B,10001,26
book,133,3,5898400000,5900000000,A,10001,37
book,137,1,5949200000,5950000000,B,10000,22
book,134,2,5948800000,5950000000,A,10003,33
book,134,3,5948400000,5950000000,B,9999,44
book,138,1,5999200000,6000000000,B,10001,27
book,139,1,5999200000,6000000000,A,10003,24
book,140,1,5999200000,6000000000,A,10002,0
book,141,1,5999200000,6000000000,A,10003,29
book,135,2,5998800000,6000000000,B,10001,40
book,135,3,5998400000,6000000000,A,10001,20
book,142,1,6049200000,6050000000,B,10001,36
book,136,2,6048800000,6050000000,A,10003,16
book,136,3,6048400000,6050000000,B,9999,27
book,143,1,6099200000,6100000000,A,10003,43
book,137,2,6098800000,6100000000,B,10001,23
book,137,3,6098400000,6100000000,A,10001,34
book,138,2,6148800000,6150000000,B,10002,30
book,139,2,6148800000,6150000000,A,10004,26
book,140,2,6148800000,6150000000,A,10003,0
book,144,1,6149200000,6150000000,B,10001,19
book,141,2,6148800000,6150000000,A,10004,30
book,138,3,6148400000,6150000000,B,9999,41
book,145,1,6199200000,6200000000,A,10003,26
book,142,2,6198800000,6200000000,B,10002,37
book,139,3,6198400000,6200000000,A,10001,17
book,146,1,6249200000,6250000000,B,10001,33
book,143,2,6248800000,6250000000,A,10004,44
book,140,3,6248400000,6250000000,B,9999,24
trade,100013,1,6249200000,6250000000,B,10003,4
trade,100014,1,6249200000,6250000000,S,10001,6
trade,100015,1,6249200000,6250000000,B,10003,8
trade,200013,2,6248800000,6250000000,S,10002,5
trade,200014,2,6248800000,6250000000,B,10004,7
trade,200015,2,6248800000,6250000000,S,10002,9
book,141,3,6298400000,6300000000,B,10000,33
book,142,3,6298400000,6300000000,A,10002,28
book,143,3,6298400000,6300000000,A,10001,0
book,147,1,6299200000,6300000000,A,10003,40
book,144,2,6298800000,6300000000,B,10002,20
book,144,3,6298400000,6300000000,A,10002,31
book,148,1,6349200000,6350000000,B,10001,16
book,145,2,6348800000,6350000000,A,10004,27
book,145,3,6348400000,6350000000,B,10000,38
book,149,1,6399200000,6400000000,A,10003,23
book,146,2,6398800000,6400000000,B,10002,34
book,146,3,6398400000,6400000000,A,10002,45
book,150,1,6449200000,6450000000,B,10001,30
book,147,2,6448800000,6450000000,A,10004,41
book,147,3,6448400000,6450000000,B,10000,21
book,151,1,6499200000,6500000000,A,10003,37
book,148,2,6498800000,6500000000,B,10002,17
book,148,3,6498400000,6500000000,A,10002,28
book,152,1,6549200000,6550000000,B,10001,44
book,149,2,6548800000,6550000000,A,10004,24
book,149,3,6548400000,6550000000,B,10000,35
book,153,1,6599200000,6600000000,A,10003,20
book,150,2,6598800000,6600000000,B,10002,31
book,150,3,6598400000,6600000000,A,10002,42
book,154,1,6649200000,6650000000,B,10001,27
book,151,2,6648800000,6650000000,A,10004,38
book,151,3,6648400000,6650000000,B,10000,18
book,155,1,6699200000,6700000000,A,10003,34
book,152,2,6698800000,6700000000,B,10002,45
book,152,3,6698400000,6700000000,A,10002,25
book,156,1,6749200000,6750000000,B,10001,41
book,153,2,6748800000,6750000000,A,10004,21
book,153,3,6748400000,6750000000,B,10000,32
book,157,1,6799200000,6800000000,A,10003,17
book,154,2,6798800000,6800000000,B,10002,28
book,154,3,6798400000,6800000000,A,10002,39
book,158,1,6849200000,6850000000,B,10001,24
book,155,2,6848800000,6850000000,A,10004,35
book,155,3,6848400000,6850000000,B,10000,15
book,159,1,6899200000,6900000000,A,10003,31
book,156,2,6898800000,6900000000,B,10002,42
book,156,3,6898400000,6900000000,A,10002,22
book,160,1,6949200000,6950000000,B,10001,38
book,157,2,6948800000,6950000000,A,10004,18
book,157,3,6948400000,6950000000,B,10000,29
book,161,1,6999200000,7000000000,A,10003,45
book,158,2,6998800000,7000000000,B,10002,25
book,158,3,6998400000,7000000000,A,10002,36
book,162,1,7049200000,7050000000,B,10001,21
book,159,2,7048800000,7050000000,A,10004,32
book,159,3,7048400000,7050000000,B,10000,43
book,163,1,7099200000,7100000000,A,10003,28
book,160,2,7098800000,7100000000,B,10002,39
book,160,3,7098400000,7100000000,A,10002,19
book,164,1,7149200000,7150000000,B,10001,35
book,161,2,7148800000,7150000000,A,10004,15
book,161,3,7148400000,7150000000,B,10000,26
book,165,1,7199200000,7200000000,A,10003,42
book,162,2,7198800000,7200000000,B,10002,22
book,162,3,7198400000,7200000000,A,10002,33
book,166,1,7249200000,7250000000,B,10001,18
book,163,2,7248800000,7250000000,A,10004,29
book,163,3,7248400000,7250000000,B,10000,40
book,167,1,7299200000,7300000000,A,10003,25
book,164,2,7298800000,7300000000,B,10002,36
book,164,3,7298400000,7300000000,A,10002,16
book,168,1,7349200000,7350000000,B,10001,32
book,165,2,7348800000,7350000000,A,10004,43
book,165,3,7348400000,7350000000,B,10000,23
book,169,1,7399200000,7400000000,A,10003,39
book,166,2,7398800000,7400000000,B,10002,19
book,166,3,7398400000,7400000000,A,10002,30
book,170,1,7449200000,7450000000,B,10001,15
book,167,2,7448800000,7450000000,A,10004,26
book,167,3,7448400000,7450000000,B,10000,37
book,171,1,7499200000,7500000000,A,10003,22
book,168,2,7498800000,7500000000,B,10002,33
book,168,3,7498400000,7500000000,A,10002,44
trade,100016,1,7499200000,7500000000,S,10001,4
trade,100017,1,7499200000,7500000000,B,10003,6
trade,100018,1,7499200000,7500000000,S,10001,8
trade,200016,2,7498800000,7500000000,B,10004,5
trade,200017,2,7498800000,7500000000,S,10002,7
trade,200018,2,7498800000,7500000000,B,10004,9
book,172,1,7549200000,7550000000,B,10001,29
book,169,2,7548800000,7550000000,A,10004,40
book,169,3,7548400000,7550000000,B,10000,20
book,173,1,7599200000,7600000000,A,10003,36
book,170,2,7598800000,7600000000,B,10002,16
book,170,3,7598400000,7600000000,A,10002,27
book,174,1,7649200000,7650000000,B,10001,43
book,171,2,7648800000,7650000000,A,10004,23
book,171,3,7648400000,7650000000,B,10000,34
book,175,1,7699200000,7700000000,A,10003,19
book,172,2,7698800000,7700000000,B,10002,30
book,172,3,7698400000,7700000000,A,10002,41
book,176,1,7749200000,7750000000,B,10001,26
book,173,2,7748800000,7750000000,A,10004,37
book,173,3,7748400000,7750000000,B,10000,17
book,177,1,7799200000,7800000000,A,10003,33
book,174,2,7798800000,7800000000,B,10002,44
book,174,3,7798400000,7800000000,A,10002,24
book,178,1,7849200000,7850000000,B,10001,40
book,175,2,7848800000,7850000000,A,10004,20
book,175,3,7848400000,7850000000,B,10000,31
book,179,1,7899200000,7900000000,A,10003,16
book,176,2,7898800000,7900000000,B,10002,27
book,176,3,7898400000,7900000000,A,10002,38
book,180,1,7949200000,7950000000,B,10001,23
book,177,2,7948800000,7950000000,A,10004,34
book,177,3,7948400000,7950000000,B,10000,45
book,178,2,7998800000,8000000000,B,10003,30
book,179,2,7998800000,8000000000,A,10005,26
book,180,2,7998800000,8000000000,A,10004,0
book,181,1,7999200000,8000000000,A,10003,30
book,181,2,7998800000,8000000000,B,10003,41
book,178,3,7998400000,8000000000,A,10002,21
book,182,1,8049200000,8050000000,B,10001,37
book,182,2,8048800000,8050000000,A,10005,17
book,179,3,8048400000,8050000000,B,10000,28
book,183,1,8099200000,8100000000,A,10003,44
book,183,2,8098800000,8100000000,B,10003,24
book,180,3,8098400000,8100000000,A,10002,35
book,184,1,8149200000,8150000000,B,10002,27
book,185,1,8149200000,8150000000,A,10004,24
book,186,1,8149200000,8150000000,A,10003,0
book,187,1,8149200000,8150000000,B,10002,20
book,184,2,8148800000,8150000000,A,10005,31
book,181,3,8148400000,8150000000,B,10000,42
book,188,1,8199200000,8200000000,A,10004,27
book,185,2,8198800000,8200000000,B,10003,38
book,182,3,8198400000,8200000000,A,10002,18
book,189,1,8249200000,8250000000,B,10002,34
book,186,2,8248800000,8250000000,A,10005,45
book,183,3,8248400000,8250000000,B,10000,25
book,184,3,8298400000,8300000000,B,10001,33
book,185,3,8298400000,8300000000,A,10003,28
book,186,3,8298400000,8300000000,A,10002,0
book,190,1,8299200000,8300000000,A,10004,41
book,187,2,8298800000,8300000000,B,10003,21
book,187,3,8298400000,8300000000,A,10003,32
book,191,1,8349200000,8350000000,B,10002,17
book,188,2,8348800000,8350000000,A,10005,28
book,188,3,8348400000,8350000000,B,10001,39
book,192,1,8399200000,8400000000,A,10004,24
book,189,2,8398800000,8400000000,B,10003,35
book,189,3,8398400000,8400000000,A,10003,15
book,193,1,8449200000,8450000000,B,10002,31
book,190,2,8448800000,8450000000,A,10005,42
book,190,3,8448400000,8450000000,B,10001,22
